name,price,item_id,category,description
Korg Volca Bass Analogue Bass Machine Sequencer Synthesizer,$80.00,23121034622,Synthesizers,"['Brand:KORG', 'Type:Synthesizer', 'Model:VolcaBass', 'MPN:VOLCABASS']"
Behringer MPA40BT-PRO All-in-One Portable 40W PA System - Bluetooth Connectivity,$139.99,24121032820,Speakers,"['Brand:Behringer', 'Type:PA System', 'Model:MPA40BT-PRO', 'Connectivity:Wireless', 'Color:Black', 'MPN:MPA40BT-PRO']"
Squier By Fender Sonic Stratocaster HT Arctic White 6String Electric Guitar 3100,$149.99,23622035184,Electric Guitars,"['Brand:Squier By Fender', 'Type:Electric Guitar', 'Series:Srat', 'Model:Sonic Stratocaster HT', 'Body Color:Arctic White', 'Handedness:Right-Handed', 'Body Type:Solid Body', 'String Configuration:6-String', 'Number of Frets:22', 'Performance Level:Beginner']"
"Feder Champion 20 Black 20-Watt 8"" Single Channel Practice Guitar Amplifier 1542",$89.99,23622034416,Guitar Amplifiers,"['Brand:Fender', 'Amplifier Type:Guitar Amplifier', 'Number of Speakers:1', 'Suitable For:Electric Guitar', 'Amplifier Technology:Solid State', 'Number of Channels:1', 'Model:Champion 20', 'Venue Type:Practice']"
Fender Squier Classic Vibe '50s Stratocaster Electric Guitar - Indonesian 2019,$299.99,23221045362,Electric Guitars,"['Brand:Fender', 'Type:Electric Guitar', 'Series:Squier', 'Model:0374005501', 'Body Color:Pink', 'Handedness:Right-Handed', 'Body Type:Solid', 'String Configuration:6-String', 'Number of Frets:21', 'Model Year:2019', 'Body Material:Pine', 'Fretboard Material:Maple', 'Neck Material:Maple', 'MPN:0374005501', 'Country/Region of Manufacture:Indonesia']"
Flight DUC460 Amara 4-String Premium Concert Ukulele,$149.99,25123048047,Ukuleles,"['Brand:Flight', 'Instrument:Ukulele', 'Type:Concert Ukulele', 'Number of Strings:4', 'MPN:DUC460', 'Body Style:Standard', 'Handedness:Right Handed', 'Color:Brown', 'Number of Frets:18', 'Model:DUC460 Amara']"
Yamaha FS800 Natural 6-String 20-Fret Folk Acoustic Guitar 1742,$149.99,23623044401,Acoustic Guitars,"['Brand:Yamaha', 'Type:Acoustic Guitar', 'Number of Frets:20', 'Model:FS800', 'Body Type:Hollow Body', 'String Configuration:6 String', 'Handedness:Right-handed']"
Rogue B30 Deluxe 30-Bracket 4-String 22-Fret Banjo / Aluminum Rim,$139.99,23622035186,Banjos,"['Brand:Rogue', 'Instrument:Banjo', 'Type:Banjo', 'Number of Strings:4', 'Body Style:Closed Back', 'Handedness:Right Handed', 'Finish:Polished', 'String Configuration:4-String', 'Color:Brown & White', 'Experience Level:Beginner', 'Model:B30']"
Headliner R2 Corded Electric High-Quality 2-Channel Rotary DJ Mixer,$299.99,25121042471,Live & Studio Mixers,"['Brand:Headliner', 'Type:Rotary Mixer', 'Number of Channels:2', 'MPN:Does Not Apply', 'Model:R2', 'Features:Corded Electric', 'Suitable For:Recording & Live Sound', 'Form Factor:Console/Tabletop']"
Prince OAS-450 Eb Professional Alto Saxophone,$899.99,23222056983,Saxophones,"['Brand:Prince', 'Instrument:Saxophone', 'Type:Alto Saxophone', 'Body Material:Brass', 'Color:Pink Copper', 'MPN:OAS-450', 'Key:Eb']"
Arion MDS-1 Distortion Guitar Effect Pedal,$49.99,23422052375,Distortion & Overdrive,"['Brand:Arion', 'Type:Guitar Pedal', 'Analog/Digital:Analog', 'MPN:Does Not Apply', 'Model:MDS-1', 'Country/Region of Manufacture:Sri Lanka', 'Custom Bundle:No']"
Washburn WCG66SCE-O Comfort Deluxe 66 Grand Auditorium Acoustic-Electic Guitar,$499.99,23623045082,Acoustic Electric Guitars,"['Brand:Washburn', 'Type:Electric Acoustic Guitar', 'String Configuration:6-String', 'Number of Frets:22', 'Body Type:Hollow Body', 'Model:WCG66SCE-O', 'Handedness:Right-Handed', 'Body Material:Maple', 'Series:Comfort Deluxe 66 Series', 'Body Color:Natural', 'Neck Material:Mahogany', 'Performance Level:Intermediate']"
Keeley Electronics Compressor Plus Electric Guitar Compressor Pedal,$99.99,23223038984,Compressors & Sustainers,"['Brand:Keeley Electronics', 'Type:Compressor', 'To Fit:Electric Guitar', 'Analog/Digital:Analog', 'MPN:KCompPlus', 'Model:Compressor Plus']"
Schecter Omen Elite-7 7 String Right Hand Electric Guitar Black Cherry Burst,$599.99,25523045912,Electric Guitars,"['Brand:Schecter', 'Type:Electric Guitar', 'Model:Omen Elite 7', 'Body Color:Black Cherry Burst', 'Handedness:Right-Handed', 'Body Type:Solid', 'String Configuration:7 String']"
MXR Phase 95 Mini M290 Electric Guitar Phaser Effects Pedal,$79.99,23223038983,Multi-Effects,"['Brand:MXR', 'Type:Guitar Pedal', 'To Fit:Electric Guitar', 'Analog/Digital:Analog', 'MPN:M290', 'Model:Phase 95 Mini']"
Eastman VL405 Andreas Eastman 4/4 Violin,$999.99,24221015474,Violins,"['Brand:Eastmen', 'Instrument:Violin', 'Size:4/4', 'Number of Strings:4', 'MPN:VL405', 'Color:Brown']"
Tokai Super Edition HSS Right-Handed 6-String Solidbody Electric Guitar,$499.99,25121042362,Electric Guitars,"['Brand:Tokai', 'Type:Electric Guitar', 'Model:Super Edition', 'Body Color:Red', 'Handedness:Right-Handed', 'Body Type:Solidbody', 'String Configuration:6-String', 'Number of Frets:22', 'MPN:Does Not Apply']"
Audio-Technica AT2020USB+ Cardioid Condenser USB Microphone,$59.99,25521049377,Microphones & Wireless Systems,"['Brand:Audio-Technica', 'Form Factor:Condenser', 'Connectivity:USB', 'Transducer Type:Condenser', 'Model:AT2020USB+', 'Features:Extended Frequency Response', 'Diaphragm Size:Large', 'Suitable For:Home Recording', 'MPN:AT2020USB+', 'Color:Gray']"
