name,price,item_id,category,description
Wilesco D10 Model Steam Engine,$159.99- $135.97,23721045665,Other Models & Kits,"['Type:Steam Engine', 'Brand:Wilesco', 'MPN:D10']"
Mattel DC Universe vs. Masters of the Universe - Bizzaro & Faker 2-Figure Set,$499.99- $449.98,24222024243,Action Figures,"['Type:2-Figure Set', 'Franchise:DC Universe / Masters of the Universe', 'Character:Bizzaro & Faker', 'Brand:Mattel', 'Model:T8027', 'MPN:Does Not Apply', 'Color:Blue', 'Packaging:Original (Unopened)']"
Mattel DC Universe vs. Masters of the Universe - Hawkman & Stratos 2-Figure Set,$89.99- $80.98,24222024240,Action Figures,"['Type:2-Figure Set', 'Franchise:DC Universe / Masters of the Universe', 'Character:Hawkman & Stratos', 'Brand:Mattel', 'Model:T8023', 'MPN:Does Not Apply', 'Color:Yellow', 'Animation Studio:Warner Bros. Animation', 'Packaging:Original (Unopened)']"
DC Comics Variant Play Arts Kai No 12 The Joker Action Figure,$99.99- $84.97,25424040865,Action Figures,"['Type:Action Figure', 'Character:The Joker']"
FuriTek Fury Wagon FX-118 Mini Remote Control Truck,$199.99- $159.96,23421035251,Remote-Controlled Toys,"['Brand:FuriTek', 'MPN:Does Not Apply', 'Toy Type:Truck', 'Color:Multi-Color', 'Model:FX-118']"
Double E SM450 1:14 Scale Hydraulic Radio Control Skid Steer Loader,$999.99- $799.96,24221014260,Industrial & Service Vehicles,"['MPN:Does Not Apply', 'Scale:1:14', 'Material:Metal', 'Required Assembly:Ready to Go/RTR/RTF (All included)', 'Fuel Type:Electric', 'Color:White', 'Model Grade:Hobby Grade', 'Recommended Surface:Off-Road & On-Road', 'Model:SM450']"
LEGO Friends 41039 Sunshine Ranch 721-Piece Construction Set,$99.99- $79.96,24322043820,LEGO Complete Sets & Packs,"['Brand:LEGO', 'Age Level:6-12', 'Product Line (LEGO Theme):Friends', 'LEGO Set Number:41039', 'Packaging:Box', 'MPN:41039', 'Year:2014', 'Piece Count:721']"
LEGO 43206 Disney: Cinderella and Prince Charming's Castle Building Set,$49.99- $39.96,24122029677,LEGO Complete Sets & Packs,"['Brand:LEGO', 'Age Level:5+', 'Product Line (LEGO Theme):Disney', 'LEGO Character:Cinderella', 'Model Theme:Disney Princess', 'Packaging:Box', 'MPN:43206', 'Piece Count:365']"
Diamond Select Toys Marvel Stormbreaker: Beta Ray Bill's Hammer Replica Prop,$599.99- $479.96,25123044657,Action Figures,"['Type:Replica Prop', 'Franchise:Marvel', 'Character:Stormbreaker', 'Brand:Diamond Select Toys', 'Featured Person/Artist:Beta Ray Bill', 'Material:Aluminum', ""Model:Stormbreaker: Beta Ray Bill's Hammer"", 'MPN:Does Not Apply', 'Color:Gold']"
Mega Bloks Dragons Krystal Wars Vorgan Attack 9873 28-Pieces Building Set,$49.99- $39.96,25425029692,Building Toys Sets & Packs,['Brand:Mega Bloks']
Mega Bloks  Dragons Sorcerer's Lair 9886 Stacking Blocks,$79.99- $63.96,25425029694,Building Toys Sets & Packs,['Brand:Mega Bloks']
LEGO 76421 Harry Potter 403 Piece Dobby The House Elf,$59.99- $47.96,23423048143,LEGO Complete Sets & Packs,"['Brand:LEGO', 'Age Level:8+', 'Product Line (LEGO Theme):Harry Potter', 'Model Theme:Dobby The House Elf', 'Packaging:Box', 'MPN:76421']"
Joe Ryan Topps Vault 1st Bowman Tampa Bay Rays Baseball Sports Trading Card -1/1,$59.99- $41.95,24341000039,Other CCG Items,"['Character:Joe Ryan', 'Language:English']"
Tom Brady 2014 Topps #8 4000 Yard Club PSA Gem Mint 10 Football NFL Trading Card,$79.99- $55.95,24341000038,Other CCG Items,"['Character:Tom Brady', 'Type:Sports Trading Card', 'Language:English']"
Tom Brady & Deion Branch 2005 Leaf Rookies & Stars Beckett 8.5 Ticket Masters,$179.99- $125.95,24341000037,Other CCG Items,"['Character:Tom Brady & Deion Branch', 'Type:Sports Trading Card', 'Language:English']"
Vintage 1984 Kenner 71540 Star Wars Tatooine Skiff,$1299.99- $649.93,23721042149,Other Vintage & Antique Toys,"['Model:71540 Star Wars Tatooine Skiff', 'Brand:Kenner', 'Vintage:Yes', 'Year:1984']"
