name,price,item_id,category,description
Louis Vuitton SP4190 Speedy 30 Damier Ebene Canvas Handbag,$999.99,24915029769,Women's Bags & Handbags,"['Brand:Louis Vuitton', 'Exterior Material:Coated Canvas', 'Style:Hand Bag', 'Exterior Color:Brown', 'Department:Women', 'Model:SP4190 Speedy 30']"
Harley Davidson 97020-06VM (2005) Women's Leather Jacket - Medium,$69.99,24222024800,"Coats, Jackets & Vests","['Brand:Harley Davidson', 'Outer Shell Material:Leather', 'Type:Jacket', 'Size:Medium', 'Style:Biker Jacket', 'Size Type:Regular', 'Color:Black', 'Department:Women', 'Closure:Zip', 'Model:97020-06VM', 'MPN:Does Not Apply']"
TC Charton Maverick Aviator Frames - Acetate Temples - Black/Tortoise,$164.99,24121032420,Sunglasses,"['Brand:TC Charton', ""Department:Men's"", 'Type:Sunglasses', 'Frame Color:Black/Tortoise', 'Model:Black/Tortoise', 'Style:Aviator', 'MPN:Black/Tortoise']"
Ray-Ban RB4068 Unisex Sunglasses 642/57 3P,$69.99,23121034845,Sunglasses,"['Brand:Ray-Ban', 'Type:Sunglasses', 'Department:Unisex', 'Frame Color:Brown', 'MPN:RB 4068 642/57 3P', 'Model:RB 4068 642/57 3P']"
Kate Spade T309 Leather Women's Shoulder Bag - Purple,$69.99,24223020738,Women's Bags & Handbags,"['Brand:kate spade new york', 'Exterior Material:Leather', 'Style:Shoulder Bag', 'Exterior Color:Purple', 'Department:Women', 'Size:Medium', 'Handle/Strap Material:Leather', 'Handle/Strap Color:Purple', 'Closure:Zip', 'Model:T309', 'MPN:Does Not Apply']"
Michael Kors OA2101T21 Women's Leather Crossbody Bag - Black,$59.99,24222024672,Women's Bags & Handbags,"['Brand:Michael Kors', 'Exterior Material:Leather', 'Style:Crossbody', 'Exterior Color:Black', 'Department:Women', 'Size:Large', 'Handle/Strap Material:Leather', 'Closure:Zip', 'Model:OA2101T21', 'MPN:Does Not Apply']"
Gucci Vintage Canvas Shoulder Bag Purse Beige,$399.99,24915029800,Women's Bags & Handbags,"['Brand:Gucci', 'Exterior Material:Leather', 'Style:Shoulder Bag', 'Exterior Color:Beige', 'Department:Women', 'Handle/Strap Material:Canvas', 'Lining Material:Canvas', 'Pattern:Monogram']"
Gucci Shoulder Bag Canvas/Leather Two Way Tote Bag Beige,$599.99,24915029810,Women's Bags & Handbags,"['Brand:Gucci', 'Exterior Material:Leather', 'Style:Shoulder Bag', 'Exterior Color:Beige', 'Department:Women', 'Country/Region of Manufacture:Italy']"
Louis Vuitton OnTheGo GM Tote Bag (M45320),$2399.99,23721048329,Women's Bags & Handbags,"['Brand:Louis Vuitton', 'Style:Tote', 'Department:Women', 'Lining Color:Red', 'MPN:M45320']"
Gucci GG Supreme Black Canvas Stripe Messenger Bag 3634,$649.99,23522043634,Women's Bags & Handbags,"['Brand:Gucci', 'Exterior Material:Canvas', 'Style:Messenger Bag', 'Exterior Color:Black', 'Department:Women', 'Model:474139']"
Guess 11218884 Vintage Pink and White Colorblock Shoulder Bag,$49.99,24122030375,Women's Bags & Handbags,"['Brand:GUESS', 'Exterior Material:Leather', 'Style:Tote', 'Exterior Color:Light Pink/White', 'Department:Women', 'Handle/Strap Material:Leather', 'MPN:11218884']"
Coach Women's Purse/Handbag Pink Ribbon Sparkly Accents,$99.99,23122021035,Women's Bags & Handbags,"['Brand:Coach', 'Exterior Color:Pink', 'Department:Women', 'Lining Color:Pink']"
Louis Vuitton Monogram Sarah Wallet,$599.99,24915029602,Wallets,"['Brand:Louis Vuitton', 'Type:Wallet', 'Color:Brown', 'Department:Women', 'Material:Leather', 'Country/Region of Manufacture:France']"
Kate Spade Oakwood Street Corin Purple Saffiano Leather Crossbody,$49.99,25121041943,Women's Bags & Handbags,"['Brand:Kate Spade', 'Exterior Material:Saffiano Leather', 'Style:Casual', 'Exterior Color:Purple', ""Department:Women's"", 'Closure:Button', 'Model:Oakwood']"
Kate Spade NewYork Limited Edition Rainbow Medium Market Tote-The Trevor Project,$79.99- $71.98,24122029289,Women's Bags & Handbags,"['Brand:kate spade new york', 'Exterior Material:Canvas', 'Style:Tote', 'Exterior Color:Multicolor', 'Department:Women', 'Handle/Strap Color:White', 'Hardware Color:Silver', 'Shape:Square', 'Handle Style:Shoulder Strap', 'MPN:Rainbow Medium Market Tote']"
Coach CJ605 Jamie Camera Bag - Trompe L'Oeil Print - Small Crossbody,$89.99,24122031056,Women's Bags & Handbags,"['Brand:Coach', 'Exterior Material:Leather', 'Style:Crossbody', 'Exterior Color:Light Blue', 'Department:Women', 'Handle/Strap Color:Blue', 'Hardware Color:Silver', 'MPN:CJ605']"
Versace 4452 54/19 135 3N Ladies Sunglasses,$179.99,23122020598,Sunglasses,"['Brand:Versace', 'Department:Ladies', 'Type:Sunglasses', 'MPN:4452', 'Temple Length:135']"
Louis Vuitton N41459 Damier Ebene Delightful PM Shoulder Bag - Entrupy Authentic,$899.99,24321030668,Women's Bags & Handbags,"['Brand:Louis Vuitton', 'Exterior Material:Canvas', 'Style:Shoulder Bag', 'Exterior Color:Brown', 'Department:Women', 'Lining Color:Red', 'Hardware Color:Gold', 'Pattern:Louis Vuitton Damier Ebene', 'Accessories:Original Dust Bag', 'Bag Width:14 in', 'Bag Height:10 in', 'Bag Depth:5 in', 'Country/Region of Manufacture:France', 'MPN:N41459']"
Gucci Beige Canvas Vintage Clutch Bag,$299.99,24915029801,Women's Bags & Handbags,"['Brand:Gucci', 'Exterior Material:Canvas', 'Style:Clutch', 'Exterior Color:Beige', 'Department:Women']"
Prada SPR AO 53 20 17K-08Z 145 3N White/Dark Gray Men's Sunglasses & Hard Case,$199.99,23624046380,Sunglasses,"['Brand:Prada', ""Department:Men's"", 'Type:Sunglasses', 'Frame Color:White', 'Model:SPR AO 53 20 17K-08Z 145 3N', 'Style:Square', 'Lens Technology:Gradient', 'Lens Color:Dark Gray', 'Frame Material:Acetate', 'Lens Material:Polycarbonate']"
Nautica N9208S 440 57/15 145 #3 Unisex Sunglasses Blue,$59.99,23121034748,Sunglasses,"['Brand:Nautica', 'Department:Men', 'Type:Sunglasses', 'Frame Color:Blue', 'Model:N9208S', 'MPN:N9208S']"
Gucci Vintage Brown GG PVC Leather Flap Cover Clutch Hand Bag,$449.99,24915029799,Women's Bags & Handbags,"['Brand:Gucci', 'Exterior Material:Leather', 'Style:Shoulder Bag', 'Exterior Color:Brown', 'Department:Women', 'Lining Color:Beige', 'Product Line:GUCCI Interlocking', 'Pattern:Gucci GG', 'Size:Medium', 'Closure:Magnetic', 'Vintage:Yes', 'Handle/Strap Material:Leather', 'Handle Style:Shoulder Strap', 'Country/Region of Manufacture:Italy']"
Louis Vuitton Monogram Canvas Sully Handbag PM,$779.99,24915029886,Women's Bags & Handbags,"['Brand:Louis Vuitton', 'Exterior Material:Coated Canvas', 'Style:Handbag', 'Exterior Color:Brown', 'Department:Ladies', 'Theme:Monogram', 'Lining Color:Brown', 'Product Line:Sully', 'Pattern:Monogram', 'Size:Medium', 'Closure:Zipper', 'Vintage:Yes']"
Louis Vuitton Vintage Monogram Canvas Sarah Wallet,$279.99,24915029945,Women's Bags & Handbags,"['Brand:Louis Vuitton', 'Exterior Material:Covered Canvas', 'Style:Monogram', 'Exterior Color:Brown', 'Department:Ladies', 'Features:Card Slot', 'Lining Color:Brown', 'Product Line:Sarah Wallet', 'Pattern:Monogram', 'Vintage:Yes']"
Louis Vuitton Damier Ebene Pattern Sarah Wallet,$279.99,24915029946,Women's Bags & Handbags,"['Brand:Louis Vuitton', 'Exterior Material:Coated Canvas', 'Style:Damier Ebene', 'Exterior Color:Brown', 'Department:Ladies', 'Lining Color:Brown', 'Pattern:Damier Ebene', 'Size:Small', 'Closure:Snap', 'Model:Sarah Wallet']"
Chanel Caviar Quilted Leather Medallion Tote Pink Purse,$1999.99,24915029873,Women's Bags & Handbags,"['Brand:Louis Vuitton', 'Exterior Material:Leather', 'Style:Should Bag', 'Exterior Color:Pink', 'Department:Womens', 'Model:Caviar']"
Louis Vuitton Nano Noé Monogram Nano Handbag,$999.99,24915029601,Women's Bags & Handbags,"['Brand:Louis Vuitton', 'Exterior Material:Canvas', 'Exterior Color:Brown', 'Department:Women', 'Lining Color:Brown', 'Product Line:Louis Vuitton Noé', 'Handle/Strap Material:Leather', 'Model:Nano Noé']"
Gucci 246879 Bamboo Two Way Tote Canvas Leather Purse,$699.99,24915029528,Women's Bags & Handbags,"['Brand:Gucci', 'Exterior Material:Canvas', 'Style:Shoulder Bag', 'Exterior Color:Brown', 'Department:Women', 'Product Line:Bamboo', 'Closure:Drawstring', 'Fabric Type:Canvas', 'Model:246879']"
Louis Vuitton M23363 Capucines Mini - Jasmine Pink Purse 5025,$4999.99,23524035025,Women's Bags & Handbags,"['Brand:Louis Vuitton', 'Exterior Material:Taurillon leather', 'Style:Capucines Mini', 'Exterior Color:Jasmine Pink', ""Department:Women's"", 'Lining Color:Yellow', 'Size:Mini', 'Model:M23363']"
Louis Vuitton Damier Ebene Westminster Gm Purse,$1399.99,24915029804,Women's Bags & Handbags,"['Brand:Louis Vuitton', 'Exterior Material:Leather', 'Style:Shoulder Bag', 'Exterior Color:Brown', 'Department:Women', 'Lining Color:Red', 'Product Line:Louis Vuitton Westminster', 'Model:Damier Ebene Westminster Gm']"
Prada 2VH112VXOP2DMH F0002 Men's Messenger Nylon Crossbody/Shoulder Bag - Black,$899.99,24121031193,Bags,"['Brand:Prada', 'Material:Nylon', 'Style:Crossbody/Shoulder', ""Department:Men's"", 'Color:Black', 'Model:2VH112VXOP2DMH F0002', 'MPN:2VH112VXOP2DMH F0002']"
Nike Air Force 1 LV8 (GS) FJ7691 191 White/Multi-Color Size 6Y Girls Shoes 7715,$99.99,23622034546,Girls' Shoes,"['Brand:Nike', 'US Shoe Size:6', 'Department:Girls', 'Color:White/Multi-Color-White', 'Style:Air Force 1 LV8 (GS) FJ7691 191', 'UK Shoe Size:5.5', 'Occasion:Activewear', 'Performance/Activity:Running & Jogging', 'Model:Air Force 1 LV8 (GS) FJ7691 191', 'EU Shoe Size:38.5', 'Closure:Lace Up', 'Shoe Width:Standard']"
Under Armour Grade School Kids Curry GS 3Z6 White/Royal/Taxi Shoes Sz. 6.5Y 6489,$99.99,23622034544,Unisex Kids' Shoes,"['Brand:Under Armour', 'Department:Unisex Kids', 'Type:Athletic', 'US Shoe Size:6.5', 'Upper Material:Mesh', 'UK Shoe Size:6', 'Model:Curry GS 3Z6', 'Closure:Lace Up', 'Performance/Activity:Running & Jogging', 'EU Shoe Size:39', 'Shoe Width:Standard']"
